field,label
Semantic Web,1
Computer and Systems Architecture,1
"Operating, Communication, Database and Distributed Systems",1
Networking and Internet Architecture,1
Semantics/Pragmatics,1
Requirements Engineering,1
Analysis,1
Discourse/Text Linguistics,1
Human Computer Interfaces,1
Software Engineering,1
Databases/Information Systems,1
Linguistics,1
Digital Communications and Networking,1
"Information Systems, Process and Knowledge Management",1
Computational Neuroscience,1
Computer Vision and Pattern Recognition,1
Computer Sciences,1
Applied Linguistics,1
Computational Engineering,1
Robotics,1
Natural Language Processing,1
Machine Learning,1
Computer Engineering,1
Computers and Society,1
Artificial Intelligence,1
Computational Linguistics,1
Data Storage Systems,1
